ORGANIZACION_POLITICA,NOMBRE_COMPLETO,LUGAR_POSTULA,SEXO
ACCION POPULAR,HUMBERTO CONSTANTINO ANDRADE ANGULO,PUNO  ,MASCULINO
ACCION POPULAR,MILAGROS DEL CARMEN SUAREZ CARO DE GARATE,SAN MARTIN  ,FEMENINO
ACCION POPULAR,TSETSEG ELSA NUNCANQUIT QUIROZ,AMAZONAS  ,FEMENINO
ACCION POPULAR,ELIO ROLANDO SESEN MARIANO,AMAZONAS  ,MASCULINO
ACCION POPULAR,GLORIA ALBINA ALVARADO ROMERO,LIMA  ,FEMENINO
ACCION POPULAR,YOLANDA MORI RAMIREZ,SAN MARTIN  ,FEMENINO
ACCION POPULAR,MARIA LUISA RAMIREZ CHUMBE ,LORETO  ,FEMENINO
ACCION POPULAR,JUAN JOSE ROCHA LOPEZ,SAN MARTIN  ,MASCULINO
ACCION POPULAR,FERNANDO GARCIA LOPEZ,SAN MARTIN  ,MASCULINO
ACCION POPULAR,ROSINA CARMEN CUTIMBO VARGAS,TACNA  ,FEMENINO
ACCION POPULAR,JULIO SALVADOR CORREA CHAVEZ,LA LIBERTAD  ,MASCULINO
ACCION POPULAR,NORMA JUDITH TORRES LOZANO,LA LIBERTAD  ,FEMENINO
ACCION POPULAR,CESAR GILMER MENDOZA MENDOZA,LA LIBERTAD  ,MASCULINO
ACCION POPULAR,EDELMIRA RAMOS LOZANO,CAJAMARCA  ,FEMENINO
ACCION POPULAR,JOSE ROSELL RUBIO MONTEZA,LAMBAYEQUE  ,MASCULINO
ACCION POPULAR,JOEL ALEX CAMPOS FLORES,CAJAMARCA  ,MASCULINO
ACCION POPULAR,LUDGERIO ABANTO ALBARRAN,CAJAMARCA  ,MASCULINO
ACCION POPULAR,FERNANDO AGUILAR CASTILLO,LIMA  ,MASCULINO
ACCION POPULAR,CELIA ROSA QUISPE RICALDE,CUSCO  ,FEMENINO
ACCION POPULAR,LUIS ANGEL ARAGON CARREÑO,CUSCO  ,MASCULINO
ACCION POPULAR,VICTOR MARIANO MARIN NEYRA,TACNA  ,MASCULINO
ACCION POPULAR,JUSTINA APAZA LOPEZ,LIMA  ,FEMENINO
ACCION POPULAR,ARMANDO VILLANUEVA MERCADO,CUSCO  ,MASCULINO
ACCION POPULAR,KELLY AMANDA SOTO ENRIQUEZ,CUSCO  ,FEMENINO
ACCION POPULAR,ERIC SEGURA TTITO,MADRE DE DIOS  ,MASCULINO
ACCION POPULAR,CARLOS CCANAHUIRE LAURA,CUSCO  ,MASCULINO
ACCION POPULAR,JANETH QUISPE PAITAN,HUANCAVELICA  ,FEMENINO
ACCION POPULAR,HUGO ESAUD BENDEZU HUARCAYA,ICA  ,MASCULINO
ACCION POPULAR,ELIAS ROBERTO BARZOLA BARZOLA,HUANCAVELICA  ,MASCULINO
ACCION POPULAR,WILDER HERMIAS INCHAUSTEGUI FERNANDEZ,HUANUCO  ,MASCULINO
ACCION POPULAR,ANTONIO REYLES TALENAS VERROCAL,HUANUCO  ,MASCULINO
ACCION POPULAR,JIMMY ANTONIO PONCE RIVERA,ANCASH  ,MASCULINO
ACCION POPULAR,BLANCA MARIA ROCHA VDA DE JANZ,ICA  ,FEMENINO
ACCION POPULAR,VALERIANA ELIZABETH YEPEZ YOVED,LIMA  ,FEMENINO
ACCION POPULAR,MARIA SHEILA PATRICIA LAZO DEL CARPIO,LIMA  ,FEMENINO
ACCION POPULAR,ISABEL DAVILA CARDENAS,HUANUCO  ,FEMENINO
