ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,PROCESO_ELECTORAL,ORGANIZACION_POLITICA,ANIO_INICIO,ANIO_FINAL,CARGO_ELEGIDO
ACCION POPULAR,CONGRESISTA,AMELIA PILAR,SOSA DAMIAN,2014,ACCION POPULAR,2014,2014,REGIDOR(A) DISTRITAL
ACCION POPULAR,CONGRESISTA,ANGEL,YBARHUEN ORTEGAL,REGIONAL MUNICIPAL 2010,ACCION POPULAR,2011,2014,ALCALDE(SA) PROVINCIAL
ACCION POPULAR,CONGRESISTA,ARMANDO,VILLANUEVA MERCADO,1990,FREDEMO,1990,1992,CONSEJERO REGIONAL
ACCION POPULAR,CONGRESISTA,ARMANDO,VILLANUEVA MERCADO,1983,ACCION POPULAR,1984,1986,REGIDOR(A) DISTRITAL
ACCION POPULAR,CONGRESISTA,AUGUSTO,REY HERNANDEZ DE AGUERO,ELECCIONES REGIONALES Y MUNICIPALES 2014,DIALOGO VECINAL,2015,Actualidad,REGIDOR(A) PROVINCIAL
ACCION POPULAR,CONGRESISTA,BLANCA MARIA,ROCHA VDA DE JANZ,1985-1990,ACCION POPULAR,1985,1990,CONGRESISTA
ACCION POPULAR,CONGRESISTA,BLANCA MARIA,ROCHA VDA DE JANZ,1990-1992,ACCION POPULAR,1990,1992,CONGRESISTA
ACCION POPULAR,CONGRESISTA,CARLOS ENRIQUE,MORALES MANSILLA,1992,ACCION POPULAR,1993,1995,REGIDOR(A) DISTRITAL
ACCION POPULAR,CONGRESISTA,CARMEN ROSA,AGUILAR ALGUIAR,ELECCIONES MUNICIPALES 1989,ACCION POPULAR/FREDEMO,1990,1992,REGIDOR(A) DISTRITAL
ACCION POPULAR,CONGRESISTA,CARMEN ROSSANA,MONROY PIEROLA DE TALLEDO,1998,ACCION POPULAR,1999,2002,REGIDOR(A) PROVINCIAL
ACCION POPULAR,CONGRESISTA,CESAR GILMER,MENDOZA MENDOZA,Elecciones Municipales ,Acción Popular ,2011,2014,ALCALDE(SA) DISTRITAL
ACCION POPULAR,CONGRESISTA,HUGO POMPEYO,TUESTA SALDAÑA,1983,Accion Popular,1984,1986,REGIDOR(A) PROVINCIAL
ACCION POPULAR,CONGRESISTA,HUGO POMPEYO,TUESTA SALDAÑA,1992,Accion Popular,1993,1995,REGIDOR(A) PROVINCIAL
ACCION POPULAR,CONGRESISTA,ISABEL,DAVILA CARDENAS,ELECCIONES REGIONALES Y MUNICIPALES 2006,TRABAJEMOS JUNTOS POR HUÁNUCO,2007,2010,ALCALDE(SA) DISTRITAL
ACCION POPULAR,CONGRESISTA,ISABEL,DAVILA CARDENAS,ELECCIONES MUNICIPALES 1989,IZQUIERDA UNIDA,1990,1992,REGIDOR(A) PROVINCIAL
ACCION POPULAR,CONGRESISTA,JORGE RAFAEL,FOINQUINOS MERA ,ELECCIONES GENERAL 2006,ALIANZA ELECTORAL FRENTE DE CENTRO,2008,2011,CONGRESISTA
ACCION POPULAR,CONGRESISTA,JUAN JOSE,ROCHA LOPEZ,ELECCIONES REGIONALES Y MUNICIPALES 2010,ACCION POPULAR,2012,2014,REGIDOR(A) PROVINCIAL
ACCION POPULAR,CONGRESISTA,JULIO,MORENO CARRASCO,2007,MOVIMIENTO AMPLIO REGIONAL CALLAO,2007,2010,CONSEJERO REGIONAL
ACCION POPULAR,CONGRESISTA,LIVIA SOLEDAD,MAYOR MONTESINOS,ELECCIONES MUNICIPALES 2002,MOVIM. INDEP. FUERZA CHANCHAMAYO,2003,2004,REGIDOR(A) PROVINCIAL
ACCION POPULAR,CONGRESISTA,LIVIA SOLEDAD,MAYOR MONTESINOS,ELECCIONES MUNICIPALES 2002,MOV. INDEP. FUERZA CHANCHAMAYO,2004,2006,ALCALDE(SA) PROVINCIAL
ACCION POPULAR,CONGRESISTA,MANUEL ARTURO,MERINO DE LAMA,2001,ACCION POPULAR,2001,2006,CONGRESISTA
ACCION POPULAR,CONGRESISTA,MANUEL ARTURO,MERINO DE LAMA,2011,PERU POSIBLE,2011,Actualidad,CONGRESISTA
ACCION POPULAR,CONGRESISTA,MARIA SHEILA PATRICIA,LAZO DEL CARPIO,ACCION POPULAR,ACCION POPULAR,2001,2001,CONGRESISTA
ACCION POPULAR,CONGRESISTA,MARIA SHEILA PATRICIA,LAZO DEL CARPIO,ACCIÓN POPULAR,ACCIÓN POPULAR / FREDEMO,1990,1993,REGIDOR(A) DISTRITAL
ACCION POPULAR,CONGRESISTA,MARIA SHEILA PATRICIA,LAZO DEL CARPIO,ACCIÓN POPULAR ,ACCIÓN POPULAR ,1993,1995,REGIDOR(A) DISTRITAL
ACCION POPULAR,CONGRESISTA,MIGUEL,ROMAN VALDIVIA,1995,ACCION POPULAR,1996,1998,ALCALDE(SA) DISTRITAL
ACCION POPULAR,CONGRESISTA,MIGUEL,ROMAN VALDIVIA,1998,ACCION POPULAR,1999,2002,ALCALDE(SA) PROVINCIAL
ACCION POPULAR,CONGRESISTA,MIGUEL,ROMAN VALDIVIA,2006,ACCION POPULAR,2007,2010,ALCALDE(SA) PROVINCIAL
ACCION POPULAR,CONGRESISTA,MIGUEL,ROMAN VALDIVIA,2010,ACCION POPULAR,2011,2014,ALCALDE(SA) PROVINCIAL
ACCION POPULAR,CONGRESISTA,MIGUEL,ROMAN VALDIVIA,2002,ACCION POPULAR,2003,2006,ALCALDE(SA) PROVINCIAL
ACCION POPULAR,CONGRESISTA,NORMA JUDITH,TORRES LOZANO,Elecciones Municipales ,Parido Aprista Peruano ,2010,2010,REGIDOR(A) DISTRITAL
ACCION POPULAR,CONGRESISTA,OLGA,MOREANO VARGAS,29 DE ENERO DE 1993,PPC - AP,1993,1994,ALCALDE(SA) DISTRITAL
ACCION POPULAR,CONGRESISTA,OLGA,MOREANO VARGAS,NOVIEMBRE DE 1989,FREDEMO - ACCIÓN POPULAR,1990,1992,REGIDOR(A) PROVINCIAL
ACCION POPULAR,CONGRESISTA,PEDRO ANTONIO,MORALES MANSILLA,2000,ACCION POPULAR,2000,2001,CONGRESISTA
ACCION POPULAR,CONGRESISTA,PEDRO ANTONIO,MORALES MANSILLA,1995,ACCION POPULAR,1996,1998,ALCALDE(SA) PROVINCIAL
ACCION POPULAR,CONGRESISTA,PEDRO ANTONIO,MORALES MANSILLA,2001,ACCION POPULAR,2001,2006,CONGRESISTA
ACCION POPULAR,CONGRESISTA,PEDRO ANTONIO,MORALES MANSILLA,1993,ACCION POPULAR,1993,1995,ALCALDE(SA) PROVINCIAL
ACCION POPULAR,CONGRESISTA,RILDO,ALARCON HUAYHUA,ELECCION POPULAR,MOVIMIENTO INDEPENDIENTE PROYECTO CCOCHUA,2011,2014,ALCALDE(SA) DE CENTRO POBLADO
