ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,INSTITUCION,CARGO,ANIO_INICIO,ANIO_FINAL
ACCION POPULAR,CONGRESISTA,ARMANDO,VILLANUEVA MERCADO,COREPRO-CUSCO,PRESIDENTE ,1999,1999
ACCION POPULAR,CONGRESISTA,ARMANDO,VILLANUEVA MERCADO,COLEGIO DE ARQUITECTOS ,DECANO,1996,1999
ACCION POPULAR,CONGRESISTA,CARMEN ROSA,AGUILAR ALGUIAR,INPPARES,SOCIA,2014,Actualidad
ACCION POPULAR,CONGRESISTA,CELIA ROSA,QUISPE RICALDE,REGISTRO PREDIAL,REGISTRADORA,1996,1998
ACCION POPULAR,CONGRESISTA,CESAR AUGUSTO LFJP,MARMOL WITTGRUBER,POLICÍA NACIONAL DEL PERU,ASESOR DE PROYECTO DE SEGURIDAD CIUDADANA CERRO EL PINO / EL AGUSTINO,2014,2015
ACCION POPULAR,CONGRESISTA,EDWIN JAVIER,MARTINEZ CONCHA,FETRASINARP,SECRETARIO GENERAL,2015,Actualidad
ACCION POPULAR,CONGRESISTA,EDWIN JAVIER,MARTINEZ CONCHA,C.A.T.P.,SECRETARIO GENERAL ADJUNTO,2015,Actualidad
ACCION POPULAR,CONGRESISTA,ISABEL,DAVILA CARDENAS,COLEGIO DE SOCIÓLOGOS ,DECANA REGIONAL,2007,2009
ACCION POPULAR,CONGRESISTA,ISABEL,DAVILA CARDENAS,RED NACIONAL DE PROMOCIÓN DE LA MUJER,COORDINADORA DEPARTAMENTAL,2005,2006
ACCION POPULAR,CONGRESISTA,JANETH,QUISPE PAITAN,DIRECCION REGIONAL DE SALUD HUANCAVELICA,SECRETARIA DE ECONOMIA -SINDICATO DE TRABAJADORES,2014,2015
ACCION POPULAR,CONGRESISTA,JIMMY ANTONIO,PONCE RIVERA,C.N ILLATHUPA ,PRESIDENTE DE APAFA LEY 28628,2009,2010
ACCION POPULAR,CONGRESISTA,JIMMY ANTONIO,PONCE RIVERA,CONSEJO NACIONAL DE LA JUVENTUD,MIEMBRO Y VOCAL DEL CPJ - CONAJU,2004,2005
ACCION POPULAR,CONGRESISTA,JORGE EDUARDO,APONTE REY,UGEL - SULLANA,SECRETARIO GENERAL SITME,2013,2014
ACCION POPULAR,CONGRESISTA,JORGE RAFAEL,FOINQUINOS MERA ,COLEGIO DE INGENIEROS DEL PERU - LORETO,VICE DECANO ,2009,2010
ACCION POPULAR,CONGRESISTA,JORGE RAFAEL,FOINQUINOS MERA ,CLUB DE LEONES IQUITOS,PRESIDENTE,1999,Actualidad
ACCION POPULAR,CONGRESISTA,JUAN CARLOS,RUIZ SALDAÑA,SEMILLERO CANTO GRANDE,TESORERO,2010,2012
ACCION POPULAR,CONGRESISTA,JUAN CARLOS,RUIZ SALDAÑA,APUPCA,SECRETARIO DE ECONOMIA,1998,2001
ACCION POPULAR,CONGRESISTA,JUAN MARIANO,NAVARRO PANDO,HERMANDAD DEL SEÑOR DE LOS MILAGROS,SEGUNDO VOCAL DEL CONSEJO DE DISCIPLINA,2015,2015
ACCION POPULAR,CONGRESISTA,JUAN MARIANO,NAVARRO PANDO,CONSEJO REGIONAL DE SEGURIDAD Y SALUD,SECRETARIO TECNICO,2012,Actualidad
ACCION POPULAR,CONGRESISTA,LIVIA SOLEDAD,MAYOR MONTESINOS,PARTIDO POLÍTICO ACCIÓN POPULAR,SECRET. GRAL. PROVINCIAL TRANSITORIA,2014,2015
ACCION POPULAR,CONGRESISTA,LUDGERIO,ABANTO ALBARRAN,MPCAJAMARCA-JUNTA VECINAL,PRESIDENTE,2011,2014
ACCION POPULAR,CONGRESISTA,LUDGERIO,ABANTO ALBARRAN,COLEGIO DE INGENIEROS DEL PERU,DECANO CONSEJO DEPARTAMENTAL,1992,1993
ACCION POPULAR,CONGRESISTA,LUIS ANGEL,ARAGON CARREÑO,FRENTE DE CENTRO,PERSONERO LEGAL,2006,2006
ACCION POPULAR,CONGRESISTA,LUIS ANGEL,ARAGON CARREÑO,CLUB DE LEONES MILENIO,PRESIDENTE,2004,2005
ACCION POPULAR,CONGRESISTA,MARIA ELENA,GUILLEN NUÑEZ,CONSEJO REGIONAL DE DECANOS DE LOS COLEGIOS PROFESIONALES DE AREQUIPA,DECANA PRESIDENTE,2014,2015
ACCION POPULAR,CONGRESISTA,MARIA ELENA,GUILLEN NUÑEZ,COLEGIO QUIMICO FARMACEUTICO DE AREQUIPA,DECANA ,2012,2015
ACCION POPULAR,CONGRESISTA,MARIA LOURDES,LLANO FLORES,CENTRO UNICO DE TRABAJADORES,SECRETARIA,2011,2012
ACCION POPULAR,CONGRESISTA,MARIO,ACOSTA QUISPE,COLEGIO DE ABOGADOS DE AYACUCHO,PRESIDENTE COMITE ELECTORAL ,1999,1999
ACCION POPULAR,CONGRESISTA,NORMA JUDITH,TORRES LOZANO,Juntas Vecinales ,Coordinadora ,2006,2007
ACCION POPULAR,CONGRESISTA,NORMA TEODORA MARIA,MARTINEZ CASTILLO,ACCION POPULAR,FUI CANDIDATA A REGIDORA PROVINCIAL DE LIMA PARA MUNIC DE LIMA,2010,2010
ACCION POPULAR,CONGRESISTA,NORMA TEODORA MARIA,MARTINEZ CASTILLO,ACCION POPULAR,GANE ELEC. INTERNAS PARA CANDIDATA  ALCALDÍA DE SAN ISIDRO,2014,2014
ACCION POPULAR,CONGRESISTA,OLGA,MOREANO VARGAS,MAYÓLICA PERUANA S.A.,DIRECTORA ( INTEGRANTE DEL DIRECTORIO ),1992,1993
ACCION POPULAR,CONGRESISTA,OSCAR RAFAEL,BENAVIDES RUIZ,KENEL CLUB PERUANO ,CRIADOR/EXPOSITOR ,2004,2016
ACCION POPULAR,CONGRESISTA,PAOLA LUISA,ALIAGA HUATUCO,SINDICATO NACIONAL DE UNIDAD DE TRABAJADORES DE SUNAT,SECRETARIA GENERAL ADJUNTA,2015,Actualidad
ACCION POPULAR,CONGRESISTA,PAOLA LUISA,ALIAGA HUATUCO,CENTRAL AUTÓNOMA DE TRABAJADORES DEL PERU,SEC. RELACIONES NACIONALES E INTERNACIONAL CATP.,2012,2015
ACCION POPULAR,CONGRESISTA,PAUL GABRIEL,GARCIA OVIEDO,PUCP,Representante Estudiantil ante la Asamblea Universitaria,2011,2012
ACCION POPULAR,CONGRESISTA,PAUL GABRIEL,GARCIA OVIEDO,PUCP,Consejo Directivo de Alimentación,2011,Actualidad
ACCION POPULAR,CONGRESISTA,PAUL GABRIEL,GARCIA OVIEDO,FREDEJUV,Presidente,2015,2015
