ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,AMBITO,NOMBRE_CARGO,ANIO_INICIO,ANIO_FINAL
ACCION POPULAR,CONGRESISTA,ARMANDO,VILLANUEVA MERCADO,REGIONAL,SECRETARIO GENERAL,1981,1982
ACCION POPULAR,CONGRESISTA,ARMANDO,VILLANUEVA MERCADO,REGIONAL,SECRETARIO GENERAL ,2014,2015
ACCION POPULAR,CONGRESISTA,ARMANDO,VILLANUEVA MERCADO,REGIONAL,SECRETARIO GENERAL ,2005,2006
ACCION POPULAR,CONGRESISTA,AUGUSTO,REY HERNANDEZ DE AGUERO,PROVINCIAL,MIEMBRO DE LA ASAMBLEA DE AFILIADOS,2014,2015
ACCION POPULAR,CONGRESISTA,AZAEL,CORDOVA CASTILLO,PROVINCIAL,SECRETARIO DE ORGANIZACION,2010,2012
ACCION POPULAR,CONGRESISTA,BLANCA MARIA,ROCHA VDA DE JANZ,NACIONAL,SECRETARIA DEPARTAMENTAL DE IDEOLOGIA -TARAPOTO-SAN MARTIN,1984,1985
ACCION POPULAR,CONGRESISTA,BLANCA MARIA,ROCHA VDA DE JANZ,NACIONAL,SECRETARIA NACIONAL DE ACCION POLITICA DE LA MUJER,2007,2009
ACCION POPULAR,CONGRESISTA,BLANCA MARIA,ROCHA VDA DE JANZ,NACIONAL,VICE SECRETARIA NACIONAL DE CAPACITACION Y BIENESTAR,2009,2011
ACCION POPULAR,CONGRESISTA,BLANCA MARIA,ROCHA VDA DE JANZ,NACIONAL,PERSONERA NACIONAL ALTERNA,1992,1994
ACCION POPULAR,CONGRESISTA,CARLOS ALBERTO,LAINEZ PALACIOS,PROVINCIAL,SECRETARIO GENERAL PROVINCIAL,2001,2003
ACCION POPULAR,CONGRESISTA,CARLOS ALBERTO,LAINEZ PALACIOS,PROVINCIAL,SECRETARIO PROVINCIAL DE DISCIPLINA,1994,1996
ACCION POPULAR,CONGRESISTA,CARLOS ANDRES,TRELLES SARAZU,DISTRITAL,SECRETARIO GENERAL,2014,2016
ACCION POPULAR,CONGRESISTA,CARLOS ENRIQUE,MORALES MANSILLA,REGIONAL,VICE SECRETARIO DE POLITICA,2012,2014
ACCION POPULAR,CONGRESISTA,CARLOS ENRIQUE,MORALES MANSILLA,DISTRITAL,SECRETARIO DISTRITAL DE EL TAMBO - HUANCAYO,2011,2012
ACCION POPULAR,CONGRESISTA,CARLOS ENRIQUE,MORALES MANSILLA,REGIONAL,SECRETARIO GENERAL,2015,2016
ACCION POPULAR,CONGRESISTA,CARLOS PEDRO,ORTIZ SEGURA,NACIONAL,PERSONERO NACIONAL ALTERNO,2005,2010
ACCION POPULAR,CONGRESISTA,CARMELA TEODORA,APOLAYA HIDALGO ,PROVINCIAL,SECRETARIA GENERAL PROVINCIAL,2004,2007
ACCION POPULAR,CONGRESISTA,CARMELA TEODORA,APOLAYA HIDALGO ,PROVINCIAL,SECRETARIA DE JUVENTUDES,1988,1989
ACCION POPULAR,CONGRESISTA,CARMELA TEODORA,APOLAYA HIDALGO ,REGIONAL,SECRETARIA GENERAL DEPARTAMENTAL DE LIMA PROVINCIAS,2013,2015
ACCION POPULAR,CONGRESISTA,CARMELA TEODORA,APOLAYA HIDALGO ,PROVINCIAL,SECRETARIA DE LA MUJER,2000,2002
ACCION POPULAR,CONGRESISTA,CARMEN ROSA,AGUILAR ALGUIAR,REGIONAL,SECRETARIA GENERAL DE LA MUJER LIM METROPOLITANA,1992,1993
ACCION POPULAR,CONGRESISTA,CARMEN ROSA,AGUILAR ALGUIAR,NACIONAL,SECRETARIA GENERAL DE LA MUJER,2015,Actualidad
ACCION POPULAR,CONGRESISTA,CARMEN ROSA,AGUILAR ALGUIAR,NACIONAL,secretaria general de la mujer,2011,2013
ACCION POPULAR,CONGRESISTA,EDMUNDO,DEL AGUILA HERRERA,NACIONAL,SEC. PLANIFICACION Y DESARROLLO,2002,2004
ACCION POPULAR,CONGRESISTA,EDMUNDO,DEL AGUILA HERRERA,DISTRITAL,SECRETARIO GENERAL,2011,2013
ACCION POPULAR,CONGRESISTA,EDMUNDO,DEL AGUILA HERRERA,NACIONAL,SEC. DE ASUNTOS EDUCACIONALES,2007,2009
ACCION POPULAR,CONGRESISTA,EDMUNDO,DEL AGUILA HERRERA,REGIONAL,SECRETARIO GENERAL,2013,2016
ACCION POPULAR,CONGRESISTA,EDWIN JAVIER,MARTINEZ CONCHA,REGIONAL,VICE SEC. GRAL ORGANIZACIONAL,2007,2009
ACCION POPULAR,CONGRESISTA,EDWIN JAVIER,MARTINEZ CONCHA,REGIONAL,SECRETARIO GENERAL,2011,2013
ACCION POPULAR,CONGRESISTA,EDWIN JAVIER,MARTINEZ CONCHA,REGIONAL,VICE SEC. GRAL. POLITICA,2009,2011
ACCION POPULAR,CONGRESISTA,EDWIN JAVIER,MARTINEZ CONCHA,REGIONAL,SECRETARIO GOBIERNOS LOCALES Y REGIONALES,2013,2015
ACCION POPULAR,CONGRESISTA,ELVA M,TAPIA BAZAN,REGIONAL,Vice Secretaria de Política,1980,1980
ACCION POPULAR,CONGRESISTA,ELVA M,TAPIA BAZAN,REGIONAL,Secretaria General del Comando Femenino,1983,Actualidad
ACCION POPULAR,CONGRESISTA,FERNANDO,AGUILAR CASTILLO,NACIONAL,VOCAL TRIBUNAL DE DISCIPLINA,2014,2016
