ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,NOMBRE_CENTRO,NOMBRE_CARRERA,FECHAS,CONCLUIDO
ACCION POPULAR,CONGRESISTA,AMELIA HILDA,CELIS SOTO,UNDAC PASCO,TUTORIA EDUCATIVA,2014 - 0,Concluido
ACCION POPULAR,CONGRESISTA,AMELIA HILDA,CELIS SOTO,"UNIVERSIDAD NACIONAL ""GUZMÁN Y VALLE""",EDUCACION PRIMARIA,2005 - 2005,Concluido
ACCION POPULAR,CONGRESISTA,ANA MARIA,BUSTAMANTE SANCHEZ,"ISP. "" TORIBIO RODRIGUEZ DE MENDOZA""",EDUCACION,1982 - 1985,Concluido
ACCION POPULAR,CONGRESISTA,BLANCA MARIA,ROCHA VDA DE JANZ,CENTRO CULTURAL PONTIFICA UNIVERSIDAD CATOLICA,TALLER DE CIENCIA POLITICA,2011 - 2011,Concluido
ACCION POPULAR,CONGRESISTA,BLANCA MARIA,ROCHA VDA DE JANZ,ACADEMIA DE MAGISTERES Y DOCTORES,CONCILIACION EXTRAJUDICIAL ,1997 - 1997,Concluido
ACCION POPULAR,CONGRESISTA,EDELMIRA,RAMOS LOZANO,IST 4 DE JUNIO 1821-JAEN,TECNICO EN CONTABILIDAD,1990 - 1992,Concluido
ACCION POPULAR,CONGRESISTA,EDELMIRA,RAMOS LOZANO,CESAM- LIMA,SECRETARIADO EJECUTIVO,1987 - 1988,Concluido
ACCION POPULAR,CONGRESISTA,ERIC,SEGURA TTITO,ESCUELA MILITAR DE CHORRILLOS,FORMACIÓN DE OFICIALES DEL EJERCITO,1992 - 1995,Concluido
ACCION POPULAR,CONGRESISTA,GIOVANNA ELIZABETH,CASTRO VILLANUEVA,ISP. HNO. VICTORINO ELORZ GOICOCHEA,HISTORIA Y GEOGRAFIA,1991 - 1996,Concluido
ACCION POPULAR,CONGRESISTA,GLORIA ALBINA,ALVARADO ROMERO,IPAE,ADMINISTRACIÓN DE PERSONAL ,1985 - 1985,Concluido
ACCION POPULAR,CONGRESISTA,GLORIA ALBINA,ALVARADO ROMERO,COUNCIL FOR PROFESSIONAL RECONGNITTION,CHILD DEVELOPMENT ASOCIATE,2009 - 2013,Concluido
ACCION POPULAR,CONGRESISTA,GLORIA ESTHER,CHIROQUE QUIÑONES,IST COSMOS,SECRETARIADO COMERCIAL,1972 - 1972,Concluido
ACCION POPULAR,CONGRESISTA,JORGE EDUARDO,APONTE REY,I.R.S.E.F.,EDUCACION FISICA,1968 - 1971,Concluido
ACCION POPULAR,CONGRESISTA,JULIO SALVADOR,CORREA CHAVEZ,I.S.P. Ciro Alegría Bazan ,Contabilidad ,1988 - 1990,Concluido
ACCION POPULAR,CONGRESISTA,LIVIA SOLEDAD,MAYOR MONTESINOS,PATMOS - NUEVAS TENDENCIAS; MINJUS,C. E. ESPECIALIZADA EN FAMILIA,2012 - 2012,Concluido
ACCION POPULAR,CONGRESISTA,LIVIA SOLEDAD,MAYOR MONTESINOS,PATMOS - NUEVAS TENDENCIAS; MINJUS,C. E. BÁSICA,2012 - 2012,Concluido
ACCION POPULAR,CONGRESISTA,LUDGERIO,ABANTO ALBARRAN,CENTRO INTERNACIONAL DE ADMINITRACIÓN,MEDIACIÓN Y CONCILIACIÓN,2000 - 2000,Concluido
ACCION POPULAR,CONGRESISTA,LUDGERIO,ABANTO ALBARRAN,ESCUELA DE INTELIGENCIA NACIONAL,INTELIGENCIA ESTRATEGICA,1986 - 0,Concluido
ACCION POPULAR,CONGRESISTA,OLGA,MOREANO VARGAS,CONSORCIO EDUCATIVO ABACO- EIGER,PROGRAMA DE CAPACITACIÓN DE OFIMÁTICA ,2009 - 0,Concluido
ACCION POPULAR,CONGRESISTA,OLGA,MOREANO VARGAS,"I.E.S.T.P "" ANDRÉS VESALIO"" ",COMPUTACIÓN E INFORMÁTICA ,2013 - 2013,Concluido
ACCION POPULAR,CONGRESISTA,OSCAR RAFAEL,BENAVIDES RUIZ,Suny/ Westchester Community College,Home Remodeling,1998 - 1998,Concluido
ACCION POPULAR,CONGRESISTA,PEDRO ADOLFO,FERNANDEZ PAREDES,ESC SUPERIOR DE POLICIA,COEM - PRIMER PUESTO,1990 - 0,Concluido
ACCION POPULAR,CONGRESISTA,PEDRO ADOLFO,FERNANDEZ PAREDES,EO . PNP (EX -GRP),SITE GRP / ESPADA DE HONOR,1973 - 1976,Concluido
ACCION POPULAR,CONGRESISTA,RAUL BENJAMIN,PIZARRO MAYORCA,E.N.S. ENRIQUE GUZMAN Y VALLE,QUIMICA MATEMATICA,1964 - 1967,Concluido
