ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,NOMBRE_CENTRO,NOMBRE_CARRERA,FECHAS,CONCLUIDO,TIPO_GRADO
ACCION POPULAR,CONGRESISTA,AMELIA HILDA,CELIS SOTO,"UNIVERSIDAD  ""CESAR VALLE JO""",MAESTRÍA EN EDUCACION,2006 - 2007,Concluido,Egresado
ACCION POPULAR,CONGRESISTA,ANA MARIA DEL ROSARIO,RIOS NEGREIROS,Universidad Cesar Vallejo SAC,Escuela de Post Grado,2005 - 2006,No Concluido,Ninguno
ACCION POPULAR,CONGRESISTA,ANA MARIA DEL ROSARIO,RIOS NEGREIROS,Universidad Cesar Vallejo SAC,Escuela de Post Grado,2012 - 2013,No Concluido,Ninguno
ACCION POPULAR,CONGRESISTA,ARMANDO,VILLANUEVA MERCADO,CENTRO BARTOLOME DE LAS CASAS,CENTRO BARTOLOME DE LAS CASAS,1986 - 1988,Concluido,Egresado
ACCION POPULAR,CONGRESISTA,ARMANDO,VILLANUEVA MERCADO,INP-CORDE-UNSAAC,POST GRADO,1988 - 1990,Concluido,Egresado
ACCION POPULAR,CONGRESISTA,AUGUSTO,REY HERNANDEZ DE AGUERO,PONTIFICIA UNIVERSIDD CATOLICA DEL PERU,ESCUELA GOBIERNO Y POLITICAS PUBLICAS,2015 - 2015,No Concluido,Ninguno
ACCION POPULAR,CONGRESISTA,BALTAZAR,LANTARON NUÑEZ,NACIONAL MAYOR DE SAN MAARCOS,EDUCACION,1998 - 1999,Concluido,Egresado
ACCION POPULAR,CONGRESISTA,BALTAZAR,LANTARON NUÑEZ,UNIVERSIDAD DEL PACIFICO,ESCUELA DE POST GRADO,2014 - 0,No Concluido,Ninguno
ACCION POPULAR,CONGRESISTA,BERNARDINO,LALOPU SILVA,Universidad Nacional Pedro Ruíz Gallo,Facultad de Derecho y Ciencias Políticas,2003 - 0,Concluido,Diplomado
ACCION POPULAR,CONGRESISTA,BERNARDINO,LALOPU SILVA,Universidad Nacional Pedro Ruíz Gallo,Facultad de Ciencias Histórico Sociales y Educación,2003 - 0,Concluido,Diplomado
ACCION POPULAR,CONGRESISTA,BERNARDINO,LALOPU SILVA,Colegio de Licenciados en Administración del Perú,Colegio de Licenciados en Administración del Perú,2002 - 0,Concluido,Diplomado
ACCION POPULAR,CONGRESISTA,BERNARDINO,LALOPU SILVA,Universidad Nacional Pedro Ruíz Gallo,Escuela de Post Grado - Ingeniería Ambiental,2003 - 2006,No Concluido,Ninguno
ACCION POPULAR,CONGRESISTA,BLANCA MARIA,ROCHA VDA DE JANZ,UNIV. NACIONAL MAYOR DE SAN MARCOS,CIENCIAS ADMINISTRATIVAS,1997 - 1998,Concluido,Egresado
ACCION POPULAR,CONGRESISTA,BLANCA MARIA,ROCHA VDA DE JANZ,UNIV. NACIONAL FEDERICO VILLAREAL,DERECHO,2004 - 0,Concluido,Egresado
ACCION POPULAR,CONGRESISTA,CARLOS ANDRES,TRELLES SARAZU,CENTRO DE INVESTIGACION Y DOCENCIA ECONOMICAS (CIDE),ADMINISTTRACION PUBLICA,2006 - 2008,Concluido,Magister
ACCION POPULAR,CONGRESISTA,CARLOS ANDRES,TRELLES SARAZU,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,CIENCIAS SOCIALES,2004 - 2004,Concluido,Diplomado
ACCION POPULAR,CONGRESISTA,CARLOS ANDRES,TRELLES SARAZU,UNIVERSIDAD IBEROAMERICANA DE MEXICO,EDUCACIÓN CONTINUA,2007 - 2007,Concluido,Diplomado
ACCION POPULAR,CONGRESISTA,CARLOS ENRIQUE,MORALES MANSILLA,UNIVERSIDAD NACIONAL DE TRUJILLO,MEDICINA HUMANA POSTGRADO 2DA. ESPECIALIZACION,2011 - 2012,Concluido,Diplomado
ACCION POPULAR,CONGRESISTA,CARLOS ENRIQUE,MORALES MANSILLA,UNIVERSIDAD CESAR VALLEJO,ESCUELA DE POSGRADO,2014 - 2016,No Concluido,CURSANDO EL 4TO Y ULTIMO SEMESTRE
ACCION POPULAR,CONGRESISTA,CARLOS FERNANDO,HERRERA DESCALZI,UNIVERSITAT KARLSRUHE,FAKULTAT FUR MASCHINENBAU,1971 - 1973,Concluido,Master
ACCION POPULAR,CONGRESISTA,CARLOS FERNANDO,HERRERA DESCALZI,LABORATORIO NACIONAL DE ARGONNE,CENTRO DE INVESTIGACIONES DE ARGONNE,1978 - 1978,Concluido,CERTIFICADO
ACCION POPULAR,CONGRESISTA,CARLOS FERNANDO,HERRERA DESCALZI,INSTITUT DES SCIENCES EL TECNIQUES NUCLEAIRES,INVESTIGACION,1976 - 1976,Concluido,CERTIFICADO
ACCION POPULAR,CONGRESISTA,CARLOS PEDRO,ORTIZ SEGURA,UNIV. PERUANA DE CIENCIAS APLICADAS,DERECHO,2007 - 2007,Concluido,-
ACCION POPULAR,CONGRESISTA,CARMELA TEODORA,APOLAYA HIDALGO ,UNIVERSIDAD CATOLICA SEDE SARPIENTE Y LA ESCUELA MAYOR DE GESTION MUNICIPAL,CURSO DE ESPECIALIZACION,2012 - 2012,Concluido,CERTIFICADO
ACCION POPULAR,CONGRESISTA,CARMELA TEODORA,APOLAYA HIDALGO ,ASESORIA EMPRESARIAL DE CAPACITACION PROFESIONAL,CURSO DE ACTUALIZACION,2013 - 2013,Concluido,CERTIFICADO
ACCION POPULAR,CONGRESISTA,CARMELA TEODORA,APOLAYA HIDALGO ,MUNICIPALIDAD PROVINCIAL DE CAÑETE,CURSO,2012 - 2012,Concluido,CERTIFICADO
ACCION POPULAR,CONGRESISTA,CARMELA TEODORA,APOLAYA HIDALGO ,MUNICIPALIDAD PROVINCIAL DE CAÑETE,DIPLOMA DE DESEMPEÑO LABORAL,2010 - 0,Concluido,Diplomado
ACCION POPULAR,CONGRESISTA,CARMEN ROSA,AGUILAR ALGUIAR,LEADERSHIP TRAINING SCHOOL,TALLAE DE LIDERAZGO,2012 - 0,Concluido,PREPARACION EN EL PROGRESO POLITICO PUBLICO
ACCION POPULAR,CONGRESISTA,CARMEN ROSA,AGUILAR ALGUIAR,EUCIM BUSINESS SCHOOL Y USM PORRES,INSTITUTO DE GOBIERNO Y DE GESTION PUBLICA,2014 - 0,No Concluido,ACTUALMENTE 2 AÑOS DE ESTUDIO
ACCION POPULAR,CONGRESISTA,CELIA ROSA,QUISPE RICALDE,ROMA 1- LA SAPIENZA,CIENCIAS POLITICAS,2003 - 2004,Concluido,Master
ACCION POPULAR,CONGRESISTA,CELIA ROSA,QUISPE RICALDE,ROMA 1- LA SAPIENZA,CIENCIAS POLITICAS,2004 - 2007,Concluido,Doctor
ACCION POPULAR,CONGRESISTA,CELIA ROSA,QUISPE RICALDE,PONTIFICIE UNIVERSIDAD CATOLICA,DERECHO,1993 - 1995,Concluido,Egresado
ACCION POPULAR,CONGRESISTA,CESAR AUGUSTO LFJP,MARMOL WITTGRUBER,FEDERICO VILLARREAL,ESCUELA DE POST GRADO,2005 - 2006,Concluido,Magister
ACCION POPULAR,CONGRESISTA,CESAR AUGUSTO LFJP,MARMOL WITTGRUBER,CENTRO DE ESTUDIOS HEMISFERICOS DEFENSA EUA/ MARINA DE GUERRA DEL PERU,-,2011 - 0,Concluido,Diplomado
ACCION POPULAR,CONGRESISTA,DELISIA,CACERES LOPEZ,ALAS PERUANAS,ESCUELA DE POST GRADO,2012 - 2014,Concluido,Egresado
ACCION POPULAR,CONGRESISTA,EDELMIRA,RAMOS LOZANO,UNIVERSIDAD PARTICULAR DE CHICLAYO,FACEM,2011 - 2013,No Concluido,Ninguno
ACCION POPULAR,CONGRESISTA,EDMUNDO,DEL AGUILA HERRERA,SOUTHER NEW HAMPSHIRE UNIVERSITY,GRATUATED SCHOOL,1999 - 2000,Concluido,Magister
ACCION POPULAR,CONGRESISTA,ERIC,SEGURA TTITO,ESCUELA SUPERIOR DE GUERRA DEL EJERCITO - ESCUELA DE POST GRADO,CIENCIAS MILITARES,2012 - 2013,Concluido,Magister
ACCION POPULAR,CONGRESISTA,ERIC,SEGURA TTITO,ESAN,GESTIÓN DE PROYECTOS,2014 - 0,Concluido,Diplomado
ACCION POPULAR,CONGRESISTA,ERIC,SEGURA TTITO,ENRIQUE GUZMÁN Y VALLE,EDUCACION,2013 - 0,Concluido,Egresado
ACCION POPULAR,CONGRESISTA,GLADYS MARLENE,ORTIZ RODRIGUEZ,Universidad Nacional Pedro Ruíz Gallo,Escuela de Post Grado,2010 - 2012,Concluido,Egresado
ACCION POPULAR,CONGRESISTA,GLADYS MARLENE,ORTIZ RODRIGUEZ,Universidad Nacional Pedro Ruiz Gallo,Escuela de Post Grado,2014 - 0,No Concluido,Ninguno
ACCION POPULAR,CONGRESISTA,GLADYS TERESA,LUGO VALENZUELA,U.N. FEDERICO VILLARREAL,DERECHO,2012 - 0,Concluido,Egresado
ACCION POPULAR,CONGRESISTA,GLADYS TERESA,LUGO VALENZUELA,U. N. FEDERICO VILLARREAL,DERECHO,2010 - 2011,Concluido,Egresado
ACCION POPULAR,CONGRESISTA,GLORIA ALBINA,ALVARADO ROMERO,PUCP,TRABAJO SOCIAL,1988 - 1989,Concluido,Diplomado
ACCION POPULAR,CONGRESISTA,HOVER JULIO,PARIONA YAURI,SAN LUIS GONZAGA DE ICA,EDUCACION,2007 - 2008,Concluido,Egresado
ACCION POPULAR,CONGRESISTA,HUGO ESAUD,BENDEZU HUARCAYA,UNIVERSIDAD ESTATAL DE ECONOMIA,ECONOMIA,1987 - 1991,Concluido,Doctor
ACCION POPULAR,CONGRESISTA,HUGO POMPEYO,TUESTA SALDAÑA,Universidad de Mayor de San Marcos,Ciencias Economicas,2013 - 2013,Concluido,Diplomado
ACCION POPULAR,CONGRESISTA,ISABEL,DAVILA CARDENAS,UNIVERSIDAD NACIONAL HERMILIO VALDIZÁN ,CIENCIAS ADMINISTRATIVAS Y TURISMO ,2002 - 2002,Concluido,Diplomado
ACCION POPULAR,CONGRESISTA,ISABEL,DAVILA CARDENAS,UNIVERSIDAD NACIONAL HERMILIO VALDIZÁN,ESCUELA POSTGRADO ,2000 - 2005,Concluido,Magister
ACCION POPULAR,CONGRESISTA,ISABEL,DAVILA CARDENAS,UNIVERSIDAD NACIONAL HERMILIO VALDIZÁN,ESCUELA DE POSTGRADO - IEC,2014 - 2014,Concluido,Diplomado
ACCION POPULAR,CONGRESISTA,JHOSSELYN JHEYDI,QUIROZ PALACIOS,UNIVERSITAT ABAT OLIBA CEU,CIENCIAS ECONOMICAS Y EMPRESARIALES,2015 - 0,No Concluido,Ninguno
ACCION POPULAR,CONGRESISTA,JHOSSELYN JHEYDI,QUIROZ PALACIOS,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU ,FAC. DERECHO,2014 - 2014,Concluido,PROGRAMA DE SEGUNDA ESPECIALIDAD 
ACCION POPULAR,CONGRESISTA,JOEL ALEX,CAMPOS FLORES,UNIVERSIDAD NACIONAL DE CAJAMARCA,ESCUELA POST GRADO,2008 - 2010,Concluido,Egresado
ACCION POPULAR,CONGRESISTA,JOSE FELIX,ROMAN FERREYRA,GSK EQUIPMENT,GSK EQUIPMENT,2014 - 2014,Concluido,Diplomado
ACCION POPULAR,CONGRESISTA,JOSE HUGUIER,SANCHEZ CHAVEZ,CESAR VALLEJO,ESCUELA DE POST GRADO DE LA UCV,2013 - 2015,Concluido,Magister
ACCION POPULAR,CONGRESISTA,JOSE HUGUIER,SANCHEZ CHAVEZ,CESAR VALLEJO,ESCUELA DE POST GRADO DE LA UCV,2015 - 2016,No Concluido,Ninguno
ACCION POPULAR,CONGRESISTA,JOSE ROSELL,RUBIO MONTEZA,Universidad Nacional Pedro Ruiz Gallo,Ciencias Histórico Sociales y Educacón,2004 - 2005,Concluido,Egresado
ACCION POPULAR,CONGRESISTA,JUAN MARIANO,NAVARRO PANDO,SAN MARTIN DE PORRES,FACULTAD DE DERECHO,2009 - 2010,Concluido,Egresado
ACCION POPULAR,CONGRESISTA,JUAN MARIANO,NAVARRO PANDO,SAN MARTIN DE PORRES,INSTITUTO DE GOBIERNO Y DE GESTION PUBLICA,2014 - 2015,Concluido,Diplomado
ACCION POPULAR,CONGRESISTA,JUAN MARIANO,NAVARRO PANDO,CATOLICA DEL PERU,ESCUELA DE GOBIERNO Y POLÍTICA PUBLICAS,2013 - 2013,Concluido,Diplomado
ACCION POPULAR,CONGRESISTA,JULIO,MORENO CARRASCO,FEDERICO VILLARREAL,ESCUELA UNIVERSITARIA POST GRADO,2004 - 2006,Concluido,Egresado
