ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,CENTRO_PRIMARIA,FECHAS,GRADO1,GRADO2,GRADO3,GRADO4,GRADO5,GRADO6
ACCION POPULAR,CONGRESISTA,AMELIA HILDA,CELIS SOTO,"I.E Nº 35005 ""Rvdo PADRE BARDO BAYERLE""",1972 - 1977,1ERO,2DO,3ERO,4TO,5TO,6TO
ACCION POPULAR,CONGRESISTA,AMELIA PILAR,SOSA DAMIAN,I.E. JERONIMO,1988 - 1988,1ERO,,,,,
ACCION POPULAR,CONGRESISTA,AMELIA PILAR,SOSA DAMIAN,I.E. SAN ANTONIO,1991 - 1992,,,,4TO,5TO,
ACCION POPULAR,CONGRESISTA,AMELIA PILAR,SOSA DAMIAN,I.E. SAN PEDRO,1989 - 1990,,2DO,3ERO,,,
ACCION POPULAR,CONGRESISTA,AMELIA PILAR,SOSA DAMIAN,I.E. SANTIAGO A. M.,1993 - 1993,,,,,,6TO
ACCION POPULAR,CONGRESISTA,ANA MARIA,BUSTAMANTE SANCHEZ,"IE N 18288 ""ISABEL LINCH DE RUBIO""",1972 - 1976,1ERO,2DO,3ERO,4TO,5TO,6TO
ACCION POPULAR,CONGRESISTA,ANA MARIA DEL ROSARIO,RIOS NEGREIROS,C.E.P. Santa Rosa,1975 - 1980,1ERO,2DO,3ERO,4TO,5TO,6TO
ACCION POPULAR,CONGRESISTA,ANGEL,YBARHUEN ORTEGAL,ESCUELA MIXTA 9106,1961 - 1963,1ERO,2DO,3ERO,,,
ACCION POPULAR,CONGRESISTA,ANGEL,YBARHUEN ORTEGAL,ESCUELA PRE VOCACIONAL 916,1964 - 1966,,,,4TO,5TO,6TO
ACCION POPULAR,CONGRESISTA,ANTONIO REYLES,TALENAS VERROCAL,ESCUELA PREVOCACIONAL 398,1962 - 1967,1ERO,2DO,3ERO,4TO,5TO,6TO
ACCION POPULAR,CONGRESISTA,ARMANDO,VILLANUEVA MERCADO,GARCILASO,1969 - 1971,,,,4TO,5TO,6TO
ACCION POPULAR,CONGRESISTA,ARMANDO,VILLANUEVA MERCADO,LA MERCED,1968 - 1968,,,3ERO,,,
ACCION POPULAR,CONGRESISTA,ARMANDO,VILLANUEVA MERCADO,2 DE MAYO,1966 - 1967,1ERO,2DO,,,,
ACCION POPULAR,CONGRESISTA,AUGUSTO,REY HERNANDEZ DE AGUERO,INMACULADO CORAZON,1991 - 1994,1ERO,2DO,3ERO,4TO,,
