ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,CENTRO_SECUNDARIA,FECHAS,GRADO1,GRADO2,GRADO3,GRADO4,GRADO5
ACCION POPULAR,CONGRESISTA,AMELIA HILDA,CELIS SOTO,"C.N. C.H ""Santa Rosa de Lima""",1978 - 1982,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,AMELIA PILAR,SOSA DAMIAN,I.E. SANTIAGO A. M.,1994 - 1998,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,ANA MARIA,BUSTAMANTE SANCHEZ,"IE ""VIRGEN DE ASUNTA""",1977 - 1981,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,ANA MARIA DEL ROSARIO,RIOS NEGREIROS,C.E. Santa Rosa,1981 - 1984,1ERO,2DO,3ERO,,
ACCION POPULAR,CONGRESISTA,ANA MARIA DEL ROSARIO,RIOS NEGREIROS,C.E.P La Inmaculada ,1984 - 1985,,,,4TO,5TO
ACCION POPULAR,CONGRESISTA,ANGEL,YBARHUEN ORTEGAL,MARISCAL ORBEGOSO,1967 - 1971,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,ANTONIO REYLES,TALENAS VERROCAL,COLEGIO NACIONAL MIXTO DE JESÚS,1968 - 1970,1ERO,2DO,3ERO,,
ACCION POPULAR,CONGRESISTA,ANTONIO REYLES,TALENAS VERROCAL,COLEGIO NACIONAL MIXTO ILLATUPA,1971 - 0,,,,4TO,5TO
ACCION POPULAR,CONGRESISTA,ARMANDO,VILLANUEVA MERCADO,ESEP TUPAC AMARU ,1975 - 1977,,,,4TO,5TO
ACCION POPULAR,CONGRESISTA,ARMANDO,VILLANUEVA MERCADO,GARCILASO,1972 - 1974,1ERO,2DO,3ERO,,
ACCION POPULAR,CONGRESISTA,AUGUSTO,REY HERNANDEZ DE AGUERO,LOS REYES ROJOS,1997 - 2001,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,AZAEL,CORDOVA CASTILLO,N°14,1968 - 1972,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,BALTAZAR,LANTARON NUÑEZ,MIGUEL GRAU,1975 - 1979,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,BERNARDINO,LALOPU SILVA,Institución Educativa Tupac Amaru - Tuman,1978 - 1982,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,BLANCA MARIA,ROCHA VDA DE JANZ,COLEGIO PARTICULAR PADRE ABAD,1956 - 1961,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,CARLOS,CCANAHUIRE LAURA,COLEGIO JULIO C. TELLO,1991 - 1994,1ERO,2DO,3ERO,4TO,
ACCION POPULAR,CONGRESISTA,CARLOS ALBERTO,LAINEZ PALACIOS,CE SAN MARTIN,1972 - 1972,,,,,5TO
ACCION POPULAR,CONGRESISTA,CARLOS ALBERTO,LAINEZ PALACIOS,JM ITURREGUI,1967 - 1971,1ERO,2DO,3ERO,4TO,
ACCION POPULAR,CONGRESISTA,CARLOS ANDRES,TRELLES SARAZU,SALESIANOS,1987 - 1991,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,CARLOS ENRIQUE,MORALES MANSILLA,SALESIANO SANTA ROSA,1975 - 1979,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,CARLOS FERNANDO,HERRERA DESCALZI,COLEGIO NACIONAL SAN JOSE DE CHICLAYO,1957 - 1961,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,CARLOS PEDRO,ORTIZ SEGURA,CEP COLEGIO SANTA MARGARITA,1976 - 1980,,,,,5TO
ACCION POPULAR,CONGRESISTA,CARMELA TEODORA,APOLAYA HIDALGO ,C.E.P. SANTA RITA DE CASSIA,1977 - 1981,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,CARMEN ROSA,AGUILAR ALGUIAR,CN ZOILA AURORA CACERES,1971 - 1975,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,CARMEN ROSSANA,MONROY PIEROLA DE TALLEDO,IE NUESTRA SEÑORA DE LA CANDELARIA,1970 - 1974,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,CELIA ROSA,QUISPE RICALDE,SANTA ANA,1979 - 1984,1ERO,2DO,3ERO,4TO,5TO
