ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,NOMBRE_CENTRO,NOMBRE_CARRERA,FECHAS
ACCION POPULAR,CONGRESISTA,AMELIA HILDA,CELIS SOTO,"I.S.T ""Daniel Alcides Carrion""",ENFERMERÍA TECNICA,1986 - 1988
ACCION POPULAR,CONGRESISTA,ARMANDO,VILLANUEVA MERCADO,ESEP TUPAC AMARU,ELECTRICIDAD Y ELECTRONICA,1975 - 1977
ACCION POPULAR,CONGRESISTA,BALTAZAR,LANTARON NUÑEZ,ISP LA SALLLE DE ABANCAY,EDUCACION PRIMARIA,1981 - 1984
ACCION POPULAR,CONGRESISTA,CARLOS,CCANAHUIRE LAURA,000,000,2015 - 2015
ACCION POPULAR,CONGRESISTA,CARMELA TEODORA,APOLAYA HIDALGO ,I.S.T. DE CAÑETE,CONTABILIDAD,1985 - 1989
ACCION POPULAR,CONGRESISTA,CARMELA TEODORA,APOLAYA HIDALGO ,CENECAPE CONDORAY,SECRETARIADO COMERCIAL - BASICO,1983 - 1983
ACCION POPULAR,CONGRESISTA,CARMELA TEODORA,APOLAYA HIDALGO ,CENECAPE AUGUSTO SALAZAR BONDY,AUXILIAR DE CONTABILIDAD,1982 - 1982
ACCION POPULAR,CONGRESISTA,CESAR GILMER,MENDOZA MENDOZA,I.S.T.E. Erasmo Avellano,Explotación de Minas ,1988 - 1990
ACCION POPULAR,CONGRESISTA,EDWIN JAVIER,MARTINEZ CONCHA,IPSIPRODA,ANALISTA DE SISTEMAS,1992 - 1997
ACCION POPULAR,CONGRESISTA,ELENA VICTORIA,OLSSON NAVARRO,Idiomas y Comercio Brown,Secretariado - Bilingue,1974 - 1977
ACCION POPULAR,CONGRESISTA,ELIAS ROBERTO,BARZOLA BARZOLA,PNP,PNP INVESTIGACION CRIMINAL,1992 - 1993
ACCION POPULAR,CONGRESISTA,GLORIA ESTHER,CHIROQUE QUIÑONES,INC Nº 40,CONTABILIDAD,1966 - 1971
ACCION POPULAR,CONGRESISTA,JANETH,QUISPE PAITAN,ISTITUTO SUPERIOR TECNOLOGICO PUBLICO DE HUANCAVELICA,TECNICO EN COMPUTACION E INFORMATICA,2001 - 2003
ACCION POPULAR,CONGRESISTA,JOSE FELIX,ROMAN FERREYRA,CEO POLITECNICA SALESIANO,MECANICA PRODUCCION,1982 - 1985
ACCION POPULAR,CONGRESISTA,JOSE FELIX,ROMAN FERREYRA,CEO POLITECNICO SALESIANO,INST. ELECTRICAS INDUSTRIALES,1981 - 1984
ACCION POPULAR,CONGRESISTA,JOSE HUGUIER,SANCHEZ CHAVEZ,I.S. TECNOLOGICO HUANTA,TECNICO EN ELECTRICIDAD,1987 - 1990
ACCION POPULAR,CONGRESISTA,JUAN CARLOS,RUIZ SALDAÑA,APEPROSE,PRODUCTOR DE SEGUROS,1989 - 1989
ACCION POPULAR,CONGRESISTA,JUAN CARLOS,RUIZ SALDAÑA,INSTITUTO SUPERIOR TECNOLOGICO EN SEGUROS,SEGUROS,1994 - 1995
ACCION POPULAR,CONGRESISTA,JUAN MARIANO,NAVARRO PANDO,VICTORIA UNIVERSITY OF WELINGTON,ENGLISH LANGUAGE TRAINING PROJECT FOR PERUVIAN OFFICIALS,2006 - 2006
ACCION POPULAR,CONGRESISTA,JUAN MARIANO,NAVARRO PANDO,NIVEL PRE INTERMEDIO,EUROIDIOMAS,2007 - 2007
ACCION POPULAR,CONGRESISTA,KELLY AMANDA,SOTO ENRIQUEZ,00,00,2015 - 2015
ACCION POPULAR,CONGRESISTA,LUIS ANGEL,ARAGON CARREÑO,000,000,2015 - 2015
ACCION POPULAR,CONGRESISTA,LUIS HUMBERTO,SIME BALLADARES,Universidad Católica Santo Toribio de Mogrovejo,Administración,2015 - 2015
ACCION POPULAR,CONGRESISTA,LUIS HUMBERTO,SIME BALLADARES,Universidad Corporativa del Banco de la Nación,Inducción y Formación Bancaria,2009 - 2009
ACCION POPULAR,CONGRESISTA,LUIS HUMBERTO,SIME BALLADARES,Universidad Corporativa del Banco de la Nación,Modalidades de Fraude,2010 - 2010
ACCION POPULAR,CONGRESISTA,LUIS HUMBERTO,SIME BALLADARES,Instituto Superior de Banca y FInanzas,Ofimática,2015 - 2015
ACCION POPULAR,CONGRESISTA,MARIA LOURDES,LLANO FLORES,ESER - ODEC - PUNO,RELIGION,1986 - 1988
ACCION POPULAR,CONGRESISTA,MARIO,ACOSTA QUISPE,I.S.P. Víctor Alvarez Huapaya,Área de Contabilidad,1983 - 1987
ACCION POPULAR,CONGRESISTA,NORMA DEL ROCIO,CAVASSA YSLA,SISTED A/SISTEMA AMAUTA,SECRETARIA EJECUTIVA,1987 - 1989
ACCION POPULAR,CONGRESISTA,NORMA JUDITH,TORRES LOZANO,Instituto Superior Tecnológico ,Enfermera Técnica ,1997 - 1999
ACCION POPULAR,CONGRESISTA,NORMA TEODORA MARIA,MARTINEZ CASTILLO,UNIV INCA GARCILASO DE LA VEGA,ADMINISTRACION EN TURISMO Y HOTELERIA,1995 - 1996
ACCION POPULAR,CONGRESISTA,NORMA TEODORA MARIA,MARTINEZ CASTILLO,INSTITUTO SAN JORGE DE SAN ISIDRO,SECRETARIADO EJECUTIVO BILINGUE,1974 - 1975
ACCION POPULAR,CONGRESISTA,OLGA,MOREANO VARGAS,"UP "" INCA GARCILASO DE LA VEGA"" ",SECRETARIADO EJECUTIVO ,1978 - 1981
ACCION POPULAR,CONGRESISTA,OLGA,MOREANO VARGAS,CENECAPE SAN ISIDRO,MECANOGRAFÍA,1980 - 1981
ACCION POPULAR,CONGRESISTA,PAUL GABRIEL,GARCIA OVIEDO,IPAE,Marketing y Gestión Empresarial,2012 - 2012
ACCION POPULAR,CONGRESISTA,PEDRO ANTONIO,MORALES MANSILLA,JAIME BAUSATE Y MESA,EXPERTO EN RELACIONES PUBLICAS,1971 - 1972
ACCION POPULAR,CONGRESISTA,RICARDO,LADERA SUZUKI,Senati,Mecanica  Automotriz y Mediciones ,1988 - 1988
ACCION POPULAR,CONGRESISTA,RICARDO,LADERA SUZUKI,Escuela de Aviacion Civil del Peru,Piloto Civil,1975 - 1978
ACCION POPULAR,CONGRESISTA,RICARDO,LADERA SUZUKI,EBA kogyo Toyota Autopartes Mie Ken,Operador Instructor de Tornos Fresadores Verticales ,2007 - 2008
ACCION POPULAR,CONGRESISTA,RICARDO,LADERA SUZUKI,CENTRO DE CAPACITACION NACIONAL DE MIE KEN ,Operador de Gruas y montacargas ,2007 - 2007
ACCION POPULAR,CONGRESISTA,SHANDE ROSSANA,VIDAL LAU DE KOLLE,Universidad Nacional de Trujillo ,Calidad ISO 9001,2014 - 2015
ACCION POPULAR,CONGRESISTA,SHANDE ROSSANA,VIDAL LAU DE KOLLE,SENSICO ,Arquitectura ,2013 - 2013
ACCION POPULAR,CONGRESISTA,SHEILLAH MARIA MILAGROS,MIÑANO BAUTISTA,CEOGNE JORGE BASADRE GROHMANN,SECRETARIADO EJECUTIVO COMPUTARIZADO ,1994 - 1995
ACCION POPULAR,CONGRESISTA,SHEILLAH MARIA MILAGROS,MIÑANO BAUTISTA,I.S.T.P FRANCISCO DE PAULA  GONZALES VIGIL,CONTABILIDAD,1994 - 1995
ACCION POPULAR,CONGRESISTA,VICTOR,LEON LEON,IST. FEDERICO VILLARREAL,CONTABILIDAD,1983 - 1985
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,AGUSTINA CARMELA,TORRES RODRIGUEZ,CENTRO EDUCATIVO BASE SANTA ISABEL HUANCAYO,SECUNDARIA COMERCIAL,1971 - 1975
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ARLES,OGOSI HUAMANI,Instituto tecnológico Victor Alvarez Guapaya,Contabilidad,1989 - 1990
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,DAISY SADID,REVATTA OLANO,Instituto Superior Tecnológico Privado Señor de Luren,Idioma Inglés,2005 - 2009
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,DEYANIRA,FARFAN CHAUCA,Instituto Pedagógico Nuestra Señora de Lourdes,Educación Primaria,1994 - 1999
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,FERNANDO,AZAÑERO SANDOVAL ,EDUCACION PRIMARIA,INSTITUCION SUPERIOR PEDAGOCICO PRIVADO NELSON ROCKEFELLER,2000 - 2004
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,GUISSELLA AYDE,COLLANTES VÁSQUEZ,INSTITUTO SUPERIOR TECNOLOGICO PUBLICO BAGUA,SECRETARIADO EJECUTIVO,1997 - 1999
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,HECTOR SIMON,MAQUERA CHAVEZ,IST FRANCISCO DE PAULA GONZALEZ VIGIL,ELECTRICIDAD,1985 - 1987
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JAIRO,DEL AGUILA RODRIGUEZ,CENTRO DE ESTUDIOS TÉCNICO NAVAL,ELECTRICIDAD,1977 - 1981
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE EDILBERTO,SANTISTEBAN GRANADOS,SENATI,CONTROL DE MAQUINARIAS Y PROCESOS INDUSTRIALES,2002 - 2004
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE ROMULO,VASQUEZ DIAZ,LUIS BANCHERO ROSSI,CONTABILIDAD,1976 - 1979
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JUAN DAVID,PERRY CRUZ,C.E.O.P MI FAMILIA,CONSEJERÍA FAMILIAR,2001 - 2002
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JUAN DAVID,PERRY CRUZ,CENTRO DE FAMILIA,CONSEJERÍA FAMILIAR,2001 - 0
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JUAN HILMER,GONZALES SANDOVAL ,INSTITUTO SUPERIOR CERVANTES,CONTABILIDAD MERCANTIL,1975 - 1975
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JULIO CESAR,PARIONA HUAMAN,INSTITUTO SUPERIOR TECNOLÓGICO PUBLICO ARGENTINO,CONTABILIDAD,2011 - 2013
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LEONARDA LUZGARDA,COARITE LAURA,ISP. JOSE JIMENEZ BORJA,EDUCACION PRIMARIA,1992 - 1997
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUIS ALBERTO,SIESQUEN CHAPOÑAN,SENATI,ELECTRICIDAD AUTOMOTRIZ,2001 - 2003
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUIS ALBERTO,MATOS DEL POZO ,SENATI,MECÁNICA DE TORNO,1975 - 1977
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MANUEL,SANGAMA MURAYARI,UNIVERSIDAD NACIONAL DANIEL ALCIRES CARRION,ADMINISTRACION Y GESTION PUBLICA,2014 - 2015
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MANUELA GEORGINA,CASHU SANCHEZ,CONTADORES ASOCIADOS,SECRETARIADO EJECUTIVO,1993 - 1993
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARCIA,MONTERO LARA,"ESCUELA DE ENFERMERIA ""DANIEL A. CARRION""",ENFERMERIA,1966 - 1969
