ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,NOMBRE_CENTRO,NOMBRE_CARRERA,FECHAS,CONCLUIDO,TIPO_GRADO,COD_ANR
ACCION POPULAR,CONGRESISTA,AMELIA HILDA,CELIS SOTO,"UNIVERSIDAD NACIONAL ""DANIEL ALCIDES CARRION""",EDUCACIÓN PRIMARIA,1995 - 2000,Concluido,LICENCIADA EN EDUCACIÓN PRIMARIA,
ACCION POPULAR,CONGRESISTA,AMELIA HILDA,CELIS SOTO,"UNIVERSIDAD PRIVADA ""LOS ANDES""",DERECHO,2014 - 2015,No Concluido,,
ACCION POPULAR,CONGRESISTA,AMELIA PILAR,SOSA DAMIAN,UNIVERSIDAD PERUANA LOS ANDES,FARMACIA Y BIOQUIMICA,1999 - 2005,Concluido,BACHILLER,
ACCION POPULAR,CONGRESISTA,AMELIA PILAR,SOSA DAMIAN,UNIVERSIDAD PERUANA LOS ANDES,ADMINISTRACION Y SISTEMAS,2014 - 2015,No Concluido,,
ACCION POPULAR,CONGRESISTA,ANA MARIA,BUSTAMANTE SANCHEZ,"""CESAR VALLEJO""",EDUCACION INICIAL,2014 - 2015,Concluido,BACHILLER,
ACCION POPULAR,CONGRESISTA,ANA MARIA DEL ROSARIO,RIOS NEGREIROS,Universidad Estatal San Petersburgo,Jurisprudencia,1993 - 1994,Concluido,,
ACCION POPULAR,CONGRESISTA,ANA MARIA DEL ROSARIO,RIOS NEGREIROS,Universidad Estatal del Kuban y Universidad Estatal San Petersburgo,Jurisprudencia,1988 - 1993,Concluido,Bachiller en Ciencias Jurídicas,
ACCION POPULAR,CONGRESISTA,ANA MARIA DEL ROSARIO,RIOS NEGREIROS,Universidad Nacional de Trujillo ,Derecho y Ciencias Políticas ,1997 - 1997,Concluido,,
ACCION POPULAR,CONGRESISTA,ANGEL,YBARHUEN ORTEGAL,UNIVERSIDAD NACIONAL DE INGENIERIA UNI,INGENIERIA MECANICA,1975 - 1981,Concluido,BACHILLER EN CIENCIAS CON MENCION EN ING. MECANICA,
ACCION POPULAR,CONGRESISTA,ANTONIO REYLES,TALENAS VERROCAL,ENRIQUE GUZMÁN Y VALLE,EDUCACIÓN ,1974 - 1980,Concluido,BACHILLER EN EDUCACIÓN,
ACCION POPULAR,CONGRESISTA,ARMANDO,VILLANUEVA MERCADO,SAN ANTONIO ABAD,ARQUITECTURA,1978 - 1984,Concluido,BACHILLER ARQUITECTURA,
ACCION POPULAR,CONGRESISTA,AUGUSTO,REY HERNANDEZ DE AGUERO,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,DERECHO,2002 - 2009,Concluido,BACHILLER,
ACCION POPULAR,CONGRESISTA,AZAEL,CORDOVA CASTILLO,UNIVERSIDAD NACIONAL DE TRUJILLO,ECONOMIA,1973 - 1978,Concluido,BACHILLER EN ECONOMIA,
ACCION POPULAR,CONGRESISTA,BALTAZAR,LANTARON NUÑEZ,NACIONAL MAYOR DE SAN MARCOS,EDUCACION PRIMARIA,1997 - 1998,Concluido,BACHILLER,A172525
ACCION POPULAR,CONGRESISTA,BERNARDINO,LALOPU SILVA,"Universidad Nacional ""Pedro Ruíz Gallo""",Agronomía,1985 - 1992,Concluido,Bachiller en Agronomía,12941
ACCION POPULAR,CONGRESISTA,BLANCA MARIA,ROCHA VDA DE JANZ,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,DERECHO,1965 - 1971,Concluido,BACHILLER,014199
ACCION POPULAR,CONGRESISTA,CARLOS ALBERTO,LAINEZ PALACIOS,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,DERECHO,1975 - 1987,Concluido,BR. EN DERCHO Y CC.PP.,-
ACCION POPULAR,CONGRESISTA,CARLOS ANDRES,TRELLES SARAZU,UNIVERSIDAD DE LIMA,COMUNICACION,1992 - 1997,Concluido,BACHILLER,437
ACCION POPULAR,CONGRESISTA,CARLOS ENRIQUE,MORALES MANSILLA,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,INGENIERIA DE INDUSTRIAS ALIMENTARIAS,1980 - 1982,No Concluido,,
ACCION POPULAR,CONGRESISTA,CARLOS ENRIQUE,MORALES MANSILLA,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,MEDICINA HUMANA,1982 - 1991,Concluido,BACHILLER EN MEDICINA,159868
ACCION POPULAR,CONGRESISTA,CARLOS FERNANDO,HERRERA DESCALZI,UNIVERSIDAD NACIONAL DE INGENIERIA,INGENIERO MECANICO - ELECTRICISTA,1962 - 1966,Concluido,BACHILLER DE INGENIERIA,
ACCION POPULAR,CONGRESISTA,CARLOS PEDRO,ORTIZ SEGURA,UNIV. NACIONAL MAYOR DE SAN MARCOS,DERECHO Y CC.PP,1982 - 1994,Concluido,ABOGADO,CAL23676
ACCION POPULAR,CONGRESISTA,CARMELA TEODORA,APOLAYA HIDALGO ,UNIVERSIDAD SAN MARTIN PORRES,TRABAJO SOCIAL,1992 - 1993,No Concluido,,
ACCION POPULAR,CONGRESISTA,CARMEN ROSA,AGUILAR ALGUIAR,UP INCA GARCILAZO DE LA VEGA,ECONOMISTA,1978 - 1986,Concluido,BACHILLER DE ECONOMIA,
ACCION POPULAR,CONGRESISTA,CARMEN ROSSANA,MONROY PIEROLA DE TALLEDO,UNIVERSIDAD CATOLICA SANTA MARIA,FARMACIA Y BIOQUIMICA,1980 - 1984,Concluido,BACHILLER,
ACCION POPULAR,CONGRESISTA,CELIA ROSA,QUISPE RICALDE,SAN ANTONIO ABAD,DERECHO,1985 - 1991,Concluido,BACHILLER EN DERECHO,
ACCION POPULAR,CONGRESISTA,CESAR AUGUSTO LFJP,MARMOL WITTGRUBER,UNIVERSIDAD SAN MARTIN DE PORRES,DERECHO,1983 - 1989,Concluido,BACHILLER,
ACCION POPULAR,CONGRESISTA,CESAR AUGUSTO LFJP,MARMOL WITTGRUBER,INCA GARCILASO DE LA VEGA,SOCIOLOGIA,1973 - 1978,Concluido,BACHILLER,
ACCION POPULAR,CONGRESISTA,DELISIA,CACERES LOPEZ,ALAS PERUANAS,DERECHO,2008 - 2014,Concluido,BACHILLER,
ACCION POPULAR,CONGRESISTA,DELISIA,CACERES LOPEZ,UNIVERSIDAD NACIONAL SAN AGUSTIN DE AREQUIPA,AGRONOMIA,1992 - 1997,Concluido,BACHILLER EN CIENCIAS AGRARIAS,
ACCION POPULAR,CONGRESISTA,EDELMIRA,RAMOS LOZANO,UNIVERSIDAD DE CHICLAYO,CONTABILIDAD,1998 - 2003,Concluido,BACHILLER EN CONTABILIDAD,
ACCION POPULAR,CONGRESISTA,EDGARDO ARTURO,ESCOBAR PORRAS,DANIEL ALCIDES CARRIÓN,SECUNDARIA,1981 - 1986,Concluido,BACHILLER,
ACCION POPULAR,CONGRESISTA,EDMUNDO,DEL AGUILA HERRERA,SAN IGNACIO DE LOYOLA,EDUCACION,2007 - 2009,Concluido,BACHILLER,
ACCION POPULAR,CONGRESISTA,EDMUNDO,DEL AGUILA HERRERA,UNIV. DE LIMA,BACHILLER,1989 - 1997,Concluido,1998,
