ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,EMPLEADOR,CARGO,ANIO_INICIO,ANIO_FIN
ACCION POPULAR,CONGRESISTA,MARIA LOURDES,LLANO FLORES,I.E.P. LA MERCED - PUNO,PROFESORA DE RELIGION,2004,2004
ACCION POPULAR,CONGRESISTA,MARIA LOURDES,LLANO FLORES,PROGRAMA DE APOYO AL REPOBLAMIENTO - PAR,SUPERVISOR,1996,1997
ACCION POPULAR,CONGRESISTA,MOISES,CAYO PACHAURI,MOISÉS CAYO PACHAURI,PROPIETARIO,1985,Actualidad
ACCION POPULAR,CONGRESISTA,MILAGROS DEL CARMEN,SUAREZ CARO DE GARATE,ESTUDIO CONTABLE CARUAJAL,ASISTENTE CONTABLE,2011,Actualidad
ACCION POPULAR,CONGRESISTA,ANA MARIA,BUSTAMANTE SANCHEZ,"IEI N° 056"" DIVINO NIÑO JESUS""",DIRECTORA,1986,Actualidad
ACCION POPULAR,CONGRESISTA,TSETSEG ELSA,NUNCANQUIT QUIROZ,IE Nª 290- WAWAS,DOCENTE,2011,2015
ACCION POPULAR,CONGRESISTA,OLGA,MOREANO VARGAS,"I.E. N° 5044 "" BANDERA DE LA PAZ""  ",PROFESORA DE AULA ( DOCENTE DE PRIMARIA),1984,2013
ACCION POPULAR,CONGRESISTA,OLGA,MOREANO VARGAS,"MINISTERIO DE EDUCACIÓN ( D.R.E.C) I.E.N° 5035 "" SAN RAFAEL""",PROFESORA DE AULA ( DOCENTE DE PRIMARIA),2014,2015
ACCION POPULAR,CONGRESISTA,OLGA,MOREANO VARGAS,"I.E. N° 5053 "" VICTOR ANDRÉS BELAUNDE""",PROFESORA DE AULA ( DOCENTE DE PRIMARIA),1983,1984
ACCION POPULAR,CONGRESISTA,HUGO POMPEYO,TUESTA SALDAÑA,Gerencia Sub Regional de Padre Abad Aguaytia _ GOREU,Administrador,2005,2006
ACCION POPULAR,CONGRESISTA,HUGO POMPEYO,TUESTA SALDAÑA,Gerencia Sub Regional de Ucayali - Contamana - GOREL,DIRECTOR DE SISTEMA ADMINISTRATIVO II,2015,2016
ACCION POPULAR,CONGRESISTA,HUGO POMPEYO,TUESTA SALDAÑA,Municipalidad Distrital de INAHUAYA,Administrador,2007,2008
