ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,REMUNERACION_PUBLICO,REMUNERACION_PRIVADO,REMUNERACION_TOTAL,RENTA_PUBLICO,RENTA_PRIVADO,RENTA_TOTAL,OTROS_PUBLICO,OTROS_PRIVADO,OTROS_TOTAL,TOTAL_GENERAL
ACCION POPULAR,CONGRESISTA,AMELIA HILDA,CELIS SOTO,1500,0,1500,0,0,0,0,0,0,1500
ACCION POPULAR,CONGRESISTA,AMELIA PILAR,SOSA DAMIAN,0,0,0,0,0,0,0,0,0,0
ACCION POPULAR,CONGRESISTA,ANA MARIA,BUSTAMANTE SANCHEZ,0,0,0,0,0,0,0,0,0,0
ACCION POPULAR,CONGRESISTA,ANA MARIA DEL ROSARIO,RIOS NEGREIROS,0,0,0,73100,4500,77600,0,0,0,77600
ACCION POPULAR,CONGRESISTA,ANGEL,YBARHUEN ORTEGAL,0,60900,60900,0,0,0,0,0,0,60900
ACCION POPULAR,CONGRESISTA,ANTONIO REYLES,TALENAS VERROCAL,0,0,0,0,0,0,18000,0,18000,18000
ACCION POPULAR,CONGRESISTA,ARMANDO,VILLANUEVA MERCADO,0,0,0,0,25000,25000,0,63000,63000,88000
ACCION POPULAR,CONGRESISTA,AUGUSTO,REY HERNANDEZ DE AGUERO,0,0,0,0,64000,64000,51480,0,51480,115480
ACCION POPULAR,CONGRESISTA,AZAEL,CORDOVA CASTILLO,0,0,0,0,24000,24000,0,0,0,24000
ACCION POPULAR,CONGRESISTA,BALTAZAR,LANTARON NUÑEZ,46800,0,46800,0,8000,8000,0,0,0,54800
ACCION POPULAR,CONGRESISTA,BERNARDINO,LALOPU SILVA,0,50000,50000,10000,0,10000,0,0,0,60000
ACCION POPULAR,CONGRESISTA,BLANCA MARIA,ROCHA VDA DE JANZ,0,0,0,0,0,0,65800,0,65800,65800
ACCION POPULAR,CONGRESISTA,CARLOS,CCANAHUIRE LAURA,0,12000,12000,0,0,0,0,0,0,12000
ACCION POPULAR,CONGRESISTA,CARLOS ALBERTO,LAINEZ PALACIOS,0,60000,60000,0,0,0,0,0,0,60000
ACCION POPULAR,CONGRESISTA,CARLOS ANDRES,TRELLES SARAZU,0,16056,16056,30500,2000,32500,0,9600,9600,58156
ACCION POPULAR,CONGRESISTA,CARLOS ENRIQUE,MORALES MANSILLA,82800,0,82800,0,0,0,0,0,0,82800
ACCION POPULAR,CONGRESISTA,CARLOS FERNANDO,HERRERA DESCALZI,0,0,0,0,180000,180000,70000,0,70000,250000
ACCION POPULAR,CONGRESISTA,CARLOS PEDRO,ORTIZ SEGURA,10000,34000,44000,0,0,0,0,0,0,44000
ACCION POPULAR,CONGRESISTA,CARMELA TEODORA,APOLAYA HIDALGO ,60423,0,60423,0,20000,20000,0,0,0,80423
ACCION POPULAR,CONGRESISTA,CARMEN ROSA,AGUILAR ALGUIAR,0,0,0,28200,0,28200,0,0,0,28200
ACCION POPULAR,CONGRESISTA,CARMEN ROSSANA,MONROY PIEROLA DE TALLEDO,0,0,0,0,35000,35000,0,35000,35000,70000
ACCION POPULAR,CONGRESISTA,CELIA ROSA,QUISPE RICALDE,131217,0,131217,1200,0,1200,0,0,0,132417
ACCION POPULAR,CONGRESISTA,CESAR AUGUSTO LFJP,MARMOL WITTGRUBER,24000,0,24000,0,0,0,0,12000,12000,36000
ACCION POPULAR,CONGRESISTA,CESAR GILMER,MENDOZA MENDOZA,14400,0,14400,0,0,0,0,0,0,14400
ACCION POPULAR,CONGRESISTA,DELISIA,CACERES LOPEZ,0,0,0,0,0,0,0,0,0,0
ACCION POPULAR,CONGRESISTA,EDELMIRA,RAMOS LOZANO,26760,0,26760,0,25000,25000,0,0,0,51760
ACCION POPULAR,CONGRESISTA,EDGARDO ARTURO,ESCOBAR PORRAS,14.3999996185303,0,14.3999996185303,0,0,0,0,0,0,14.3999996185303
ACCION POPULAR,CONGRESISTA,EDMUNDO,DEL AGUILA HERRERA,0,39000,39000,0,67352.6875,67352.6875,0,0,0,106352.6875
ACCION POPULAR,CONGRESISTA,EDULFO DE JESUS,ARAUJO MEJIA,0,2250,2250,0,0,0,0,0,0,2250
ACCION POPULAR,CONGRESISTA,EDWIN JAVIER,MARTINEZ CONCHA,61600,0,61600,0,0,0,0,0,0,61600
ACCION POPULAR,CONGRESISTA,ELENA VICTORIA,OLSSON NAVARRO,400,0,400,0,0,0,0,0,0,400
ACCION POPULAR,CONGRESISTA,ELIAS ROBERTO,BARZOLA BARZOLA,18000,60000,78000,0,0,0,0,0,0,78000
ACCION POPULAR,CONGRESISTA,ELIO ROLANDO,SESEN MARIANO,0,0,0,0,0,0,0,0,0,0
ACCION POPULAR,CONGRESISTA,ELVA M,TAPIA BAZAN,0,0,0,0,0,0,0,0,0,0
ACCION POPULAR,CONGRESISTA,ERIC,SEGURA TTITO,76800,72000,148800,0,22000,22000,0,0,0,170800
ACCION POPULAR,CONGRESISTA,FERNANDO,GARCIA LOPEZ,0,60000,60000,0,0,0,0,0,0,60000
ACCION POPULAR,CONGRESISTA,FERNANDO,AGUILAR CASTILLO,0,0,0,0,60000,60000,0,180000,180000,240000
ACCION POPULAR,CONGRESISTA,GIOVANNA ELIZABETH,CASTRO VILLANUEVA,0,0,0,16800,0,16800,0,0,0,16800
ACCION POPULAR,CONGRESISTA,GLADYS MARLENE,ORTIZ RODRIGUEZ,0,0,0,0,0,0,0,0,0,0
ACCION POPULAR,CONGRESISTA,GLADYS TERESA,LUGO VALENZUELA,102000,0,102000,0,0,0,0,0,0,102000
ACCION POPULAR,CONGRESISTA,GLORIA ALBINA,ALVARADO ROMERO,0,0,0,0,0,0,0,0,0,0
ACCION POPULAR,CONGRESISTA,GLORIA ESTHER,CHIROQUE QUIÑONES,0,0,0,0,22000,22000,0,0,0,22000
ACCION POPULAR,CONGRESISTA,HOVER JULIO,PARIONA YAURI,0,0,0,25000,0,25000,0,0,0,25000
ACCION POPULAR,CONGRESISTA,HUGO ESAUD,BENDEZU HUARCAYA,0,10800,10800,0,24000,24000,0,0,0,34800
ACCION POPULAR,CONGRESISTA,HUGO POMPEYO,TUESTA SALDAÑA,0,37735,37735,0,0,0,0,0,0,37735
ACCION POPULAR,CONGRESISTA,HUMBERTO CONSTANTINO,ANDRADE ANGULO,21045,0,21045,0,0,0,400,0,400,21445
ACCION POPULAR,CONGRESISTA,IBO,URBIOLA SIERRA,0,0,0,0,60000,60000,0,0,0,60000
ACCION POPULAR,CONGRESISTA,ISABEL,DAVILA CARDENAS,37887,0,37887,0,0,0,0,0,0,37887
ACCION POPULAR,CONGRESISTA,JANET,CORISEPA NERY,0,0,0,0,0,0,0,0,0,0
ACCION POPULAR,CONGRESISTA,JANETH,QUISPE PAITAN,0,0,0,9500,0,9500,0,0,0,9500
ACCION POPULAR,CONGRESISTA,JAVIER ENRIQUE,ROCHA MORENO ,0,0,0,0,0,0,0,0,0,0
ACCION POPULAR,CONGRESISTA,JHOSSELYN JHEYDI,QUIROZ PALACIOS,0,0,0,0,0,0,0,0,0,0
ACCION POPULAR,CONGRESISTA,JIMMY ANTONIO,PONCE RIVERA,0,0,0,0,15000,15000,0,0,0,15000
ACCION POPULAR,CONGRESISTA,JOEL ALEX,CAMPOS FLORES,60000,0,60000,0,0,0,0,0,0,60000
