ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,NOMBRE_BIEN,DESCRIPCION_BIEN,CARACTERISTICAS_BIEN,VALOR_BIEN
ACCION POPULAR,CONGRESISTA,AMELIA HILDA,CELIS SOTO,MOTO LINEAL,PULSER,TRAMITE,3000
ACCION POPULAR,CONGRESISTA,ANGEL,YBARHUEN ORTEGAL,CAMIONETA,TOYOTA HI LUX,AKB 744,25000
ACCION POPULAR,CONGRESISTA,AUGUSTO,REY HERNANDEZ DE AGUERO,CAMIONETA,JEEP-CHEROKEE SPORT 2007,AS0-303/AUTOMATICA,40000
ACCION POPULAR,CONGRESISTA,AZAEL,CORDOVA CASTILLO,CAMIONETA,HILUX 2008,F2G-908,49000
ACCION POPULAR,CONGRESISTA,BALTAZAR,LANTARON NUÑEZ,AAUOMOVIL,HYUNDAI SEDAN 1988,AT 1334,13500
ACCION POPULAR,CONGRESISTA,CARLOS FERNANDO,HERRERA DESCALZI,AUTOMOVIL,VOLWSWAGEN ESCARABAJO 1971,CG7721,5000
ACCION POPULAR,CONGRESISTA,CARMEN ROSA,AGUILAR ALGUIAR,MINI BUS,DFK-C37-2014,ADX867-GASOLINERO,45500
ACCION POPULAR,CONGRESISTA,CARMEN ROSSANA,MONROY PIEROLA DE TALLEDO,AUTOMOVIL,VW-ESCARABAJO-78,IG-2303,6000
ACCION POPULAR,CONGRESISTA,CARMEN ROSSANA,MONROY PIEROLA DE TALLEDO,CAMIONETA,FORD - XLT - 1985,OI - 9872,15000
ACCION POPULAR,CONGRESISTA,CESAR AUGUSTO LFJP,MARMOL WITTGRUBER,AUTOMOVIL,VOLKWAGEN - GOL - 2010 ,A2I - 130 ,30000
ACCION POPULAR,CONGRESISTA,CESAR AUGUSTO LFJP,MARMOL WITTGRUBER,MOTOCICLETA,WANXIN - WX7OPY - 2011,B1 - 2925,6000
ACCION POPULAR,CONGRESISTA,CESAR GILMER,MENDOZA MENDOZA,Camioneta ,Toyota Hilux 2007,58B-723,98000
ACCION POPULAR,CONGRESISTA,FERNANDO,AGUILAR CASTILLO,AUTOMOVIL,MAZDA 323-1997,DH-6961,15000
ACCION POPULAR,CONGRESISTA,GLADYS MARLENE,ORTIZ RODRIGUEZ,Automóvil,Nissan Versa16 2012,M1Z - 212,38230
ACCION POPULAR,CONGRESISTA,GLADYS TERESA,LUGO VALENZUELA,CAMIONETA,SUZUKI - GRAND NOMADE,D9W603,50000
ACCION POPULAR,CONGRESISTA,GLORIA ESTHER,CHIROQUE QUIÑONES,CAMIONETA,JAC-REIN 2013,P1W461,50000
ACCION POPULAR,CONGRESISTA,HOVER JULIO,PARIONA YAURI,01,KIA CERATO,W2U-084,46000
ACCION POPULAR,CONGRESISTA,HUGO POMPEYO,TUESTA SALDAÑA,Moto Lineal,Lifan,0916-5U,3700
ACCION POPULAR,CONGRESISTA,IBO,URBIOLA SIERRA,AUTOMOVIL,SUZUKI-SX4-2010,B2Y-368,57460
ACCION POPULAR,CONGRESISTA,ISABEL,DAVILA CARDENAS,AUTO,TOYOTA - YARIS 2008,AM6438/COLOR NEGRO,45581
ACCION POPULAR,CONGRESISTA,JOEL ALEX,CAMPOS FLORES,MOTOCICLETA 125,CROSS - XL125 - ,NL 18710,1000
ACCION POPULAR,CONGRESISTA,JOEL ALEX,CAMPOS FLORES,CAMIONETA 4X4 ,MAZDA - BT50 - 2010,B7H 805,20000
ACCION POPULAR,CONGRESISTA,JOEL ALEX,CAMPOS FLORES,MTOCICLETA,SU MOTO  - XL 125,NL 14285,1000
ACCION POPULAR,CONGRESISTA,JORGE RAFAEL,FOINQUINOS MERA ,CAMIONETA,HONDA - CRV- 2008,LGQ053 - NEGRA,65855
ACCION POPULAR,CONGRESISTA,JORGE RAFAEL,FOINQUINOS MERA ,CAMIONETA ,NISSAN - QASHQAI,L1B033 - NEGRA,54000
ACCION POPULAR,CONGRESISTA,JOSE HUGUIER,SANCHEZ CHAVEZ,CAMIONETA,TOYOTA - HILUX,D3T - 811,70000
ACCION POPULAR,CONGRESISTA,JOSE HUGUIER,SANCHEZ CHAVEZ,AUTO,TOYOTA - YARIS,F9Z-049,40000
ACCION POPULAR,CONGRESISTA,JOSE HUGUIER,SANCHEZ CHAVEZ,CAMIONETA,TOYOTA - HILUX,C9C-702,80000
ACCION POPULAR,CONGRESISTA,JUAN MARIANO,NAVARRO PANDO,AUTO,CHEVROLET CORSA SEDAN-2000,BIO-814,13600
