ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,NOMBRE_BIEN,DESCRIPCION_BIEN,CARACTERISTICAS_BIEN,VALOR_BIEN
ACCION POPULAR,CONGRESISTA,AUGUSTO,REY HERNANDEZ DE AGUERO,ACCIONES,ACCIONES BVL,SOLES,5000
ACCION POPULAR,CONGRESISTA,HOVER JULIO,PARIONA YAURI,0,-,-,0
ACCION POPULAR,CONGRESISTA,JUAN JOSE,ROCHA LOPEZ,TRANSFERENCIA DE DERECHOS DEL TITULAR,J.J. ROCHA METAL MECANICA E.I.R.L.,PARTIDA Nº 05014140,45000
ACCION POPULAR,CONGRESISTA,LUIS ANGEL,ARAGON CARREÑO,LIBROS ,JURIDICOS Y OTROS,EN BUEN ESTADO,15000
ACCION POPULAR,CONGRESISTA,LUIS ANGEL,ARAGON CARREÑO,OBJETOS DE ARTE,JOYAS Y OTROS ,EN BUEN ESTADO,10000
ACCION POPULAR,CONGRESISTA,NORMA TEODORA MARIA,MARTINEZ CASTILLO,ACCIONES,-,-,8000
ACCION POPULAR,CONGRESISTA,NORMA TEODORA MARIA,MARTINEZ CASTILLO,JOYAS,"COLLARES,PULSERAS,SORTIJAS Y OTROS",",PULSERAS,SORTIJAS Y OTROS",60000
ACCION POPULAR,CONGRESISTA,NORMA TEODORA MARIA,MARTINEZ CASTILLO,PINTURAS,-,-,56000
ACCION POPULAR,CONGRESISTA,OSCAR RAFAEL,BENAVIDES RUIZ,Parcela Agrícola ,Herencia ,Zona de Cultivo ,30000
ACCION POPULAR,PRESIDENTE DE LA REPUBLICA,ISAAC ALFREDO,BARNECHEA GARCIA,ESCULTURAS,ESCULTURAS,ESCULTURAS,300000
ACCION POPULAR,PRESIDENTE DE LA REPUBLICA,ISAAC ALFREDO,BARNECHEA GARCIA,JOYAS,JOYAS,JOYAS,250000
ACCION POPULAR,PRESIDENTE DE LA REPUBLICA,ISAAC ALFREDO,BARNECHEA GARCIA,LIBROS,LIBROS,LIBROS,450000
ACCION POPULAR,PRESIDENTE DE LA REPUBLICA,ISAAC ALFREDO,BARNECHEA GARCIA,PINTURAS,PINTURAS,PINTURAS,400000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ADOLFO ALBERTO,ARRIETA KOHLER ,ACCIONES,IN FLIGHT MEDIA SAC,99.5% (VALOR NOMINAL DE CADA ACCIÓN ES DE S/. 1.00,26999
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CESAR AUGUSTO,SANDOVAL NIZAMA,RELOJES ANTIGUOS,ORO Y PLATA,MARCAS ANTIGUAS,20000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CRISANTO CIRILO,ABREGU CANALES,POSESIÓN ,ASOCIACIÓN APAVIS - CAÑETE,TERRENO RUSTICO,4987
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CRISANTO CIRILO,ABREGU CANALES,POSESIÓN ,ARMA - HUANCAVELICA,TERRENO ERIAZO,600
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CRISANTO CIRILO,ABREGU CANALES,POSESIÓN,URB. MUERTOS DE LA MOLINA,TERRENO CASA,33935.41015625
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CRISANTO CIRILO,ABREGU CANALES,POSESIÓN,ASOCIACIÓN APAVIS - CAÑETE,TERRENO RUSTICO,4987
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,EDILBERTO JAVIER,ANGELES AGUILAR ,TITULAR - GERENTE,EDYBARB E.I.R.L.,100% CAPITAL SOCIAL,1000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,EDILBERTO JAVIER,ANGELES AGUILAR ,ACCIONES ,GLOBAL ANDINA S.A.C.,50%,2500
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ELIOVARDO CALIXTO,HUACOTO PALLAROZO,ACCIONES,SALAZAR HUACOTO VIVAR S.A.C.,1% (VALOR NOMINAL S/1),1000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ENRIQUE,WONG PUJADA,ACCIONES CLINICA SAN VICENTE SA,7377 ACCIONES ,VALOR NOMINAL S/. 1.00 C/U,7377
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,FERMIN,MESTAS PACOMPIA,CASA,POSESION,2 PISOS,80000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,FLORESMILO,GUERRERO NEYRA,RESTAURANT POLLERIA BRAGA S.R.L,SIN ACTIVIDAD,SIN ACTIVIDAD,0
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,FLORESMILO,GUERRERO NEYRA,LOS PARAMOS NEGOCIOS GENERALES EIRL,SERVICIOS GENERALES,SERVICIOS GENERALES,16850
